Workload,Mach Data Latency,Mach Execution Latency,Kafka Data Latency,Kafka Execution Latency,ES Data Latency,ES Execution Latency
0.2,2.072858119,0.053222472,4.102916933,0.018509522,8.621583811,0.005007698
0.2,0.01849189,0.060728604,2.10152042,0.017086697,0.16175334,0.057498663
0.2,2.605770669,0.118541091,2.40171915,0.0235973,0.077122726,0.104509981
0.2,2.060148117,0.094154765,4.102988785,0.018437292,0.013344383,0.004581837
0.2,0.019106482,0.119762488,0.000002821,0.029475851,0.279656841,0.004823876
0.2,0.02496177,0.056906565,0.000002863,0.018736626,0.307496214,0.004280755
0.2,0.014207534,0.100627662,0.000002681,0.029443759,0.013716311,0.280875806
0.2,0.016103309,0.067876201,0.000003119,0.012029739,0.291368538,0.004297111
0.2,0.018041574,0.098051,0.0000024,0.019230281,0.014127587,0.004507637
0.2,0.017430137,0.116164398,2.201635929,0.03543994,0.050717202,0.050496924
0.2,0.02538571,0.129126331,2.101521745,0.037136577,0.143915883,0.005675547
0.2,0.026123013,0.057123442,0.000003037,0.017399325,0.221167041,0.004750364
0.2,0.016110207,0.145403786,0.000002884,0.039017778,0.015408113,0.004933353
0.2,0.025173542,0.150547617,0.000002858,0.041471087,0.041650376,0.007737892
0.2,0.01156296,0.056989435,2.101544144,0.027212545,0.05170257,0.004134322
0.2,0.017497137,0.162285849,0.000003,0.054728445,0.013766292,0.005075236
0.2,0.017248697,0.209464778,0.000002729,0.05907735,0.015186387,0.00511246
0.2,0.01728895,0.138667775,0.000003233,0.042005958,0.015009117,0.004963591
0.2,2.092880441,0.084156924,4.203085169,0.022042556,0.015270944,0.004376925
0.2,2.060872897,0.162832682,0.000002565,0.048689275,0.146506369,0.004438719
0.2,0.019731918,0.067534283,0.0000021,0.023052314,0.035924868,0.004704244
0.2,0.02167532,0.072289327,0.000002229,0.015991689,0.35623824,0.006073282
0.2,0.016881882,0.122220164,0.000001911,0.040909893,0.018510042,0.069481693
0.2,0.018040952,0.143524419,2.101565784,0.044695086,0.01354122,0.004610398
0.2,0.021783725,0.127825993,0.00000243,0.034289186,0.049739576,0.239037612
0.2,0.026765395,0.155101119,0.000002739,0.036756859,0.272480331,0.004880396
0.2,0.026551757,0.201799906,0.000001941,0.046417328,0.103800932,0.004647901
0.2,0.020536884,0.275991084,2.101542998,0.07676212,0.064737855,0.007282055
6,0.012704618,0.170248637,0.000001965,0.027248147,0.104143028,0.006211095
6,0.015501752,1.846334239,0.000003215,0.369731418,47.56708298,0.061868446
6,0.02455418,2.454025542,0.000002577,0.562348453,153.4571205,0.029804863
6,0.020298033,1.551714933,8.506290568,0.379233705,35.87976745,0.683011234
6,0.016936984,4.886108936,9.807114495,1.124010105,230.0875987,0.073944494
6,0.024286672,3.323509965,15.21155157,0.844256478,57.86219632,0.09229744
6,0.014263295,6.487819185,16.41142124,1.530371002,203.6846075,0.099288443
6,0.020722557,5.835503553,14.21016482,1.410148039,221.5602548,0.064028403
6,0.020536438,5.837882489,16.71184758,1.444330536,469.8244211,0.073330511
6,0.028799785,6.611195601,23.11596153,1.444427315,638.1027173,0.201374366
6,0.019648689,3.288542726,24.11682561,0.827168187,442.1945699,0.014085848
6,0.018013255,5.762122594,24.51794253,1.382846883,771.4772186,1.077554784
6,0.016086616,5.550126851,35.52454752,1.393145733,678.0707715,0.650495229
6,0.020516899,4.2115495,33.22321373,1.008785217,623.3862246,0.406842259
6,0.017827118,5.126549619,34.82358801,1.208247883,760.1441971,0.069316543
6,0.018814228,5.807650435,43.72992362,1.445365403,1178.805673,0.138102278
6,0.024928322,3.239579013,43.53001149,0.730176791,965.3738897,0.051925822
6,0.029555407,3.971562144,45.03122614,0.937277439,1700.309434,0.128977645
6,0.019365276,2.610137444,47.4331604,0.562079172,1987.251784,0.047401506
6,0.009953421,4.865581576,55.73670805,1.058167075,2461.445067,0.151536292
6,0.032991807,2.030581329,58.33925377,0.442394991,1507.857665,0.091220225
6,0.014926931,3.717786462,60.040491,0.85814822,1586.742717,0.033525164
6,0.027467302,5.683946889,60.53895207,1.343983219,1617.635445,0.044041927
6,0.017830634,6.327917313,69.44472596,1.449767511,1834.228174,0.200471392
6,0.030400082,6.648484392,67.44447931,1.575099997,1578.506105,0.112881912
6,0.036778593,5.092673394,70.74763197,1.06258983,2135.613467,0.010760735
6,0.016384259,5.473398364,77.2495568,1.305746275,2397.175081,0.335720767
6,0.026905458,6.680817384,78.95208203,1.551481493,1735.802506,0.110228817
6,0.018355746,6.135196118,78.0505711,1.286537429,1978.542723,0.384061082
6,0.015034944,4.35688788,79.45697645,1.072932517,2715.935793,0.103551026
6,0.019967312,5.985865943,75.34834468,1.02919477,3466.744806,0.044815242
0.2,2.078910719,4.066495897,65.64233759,0.923998059,2012.767158,0.936279638
0.2,0.022980792,3.836748932,85.1613144,1.513561697,2991.549278,0.086756577
0.2,0.021887861,1.344348177,56.4375156,0.363874404,2667.577427,0.233621178
0.2,0.012042712,1.391750138,37.02435473,0.108037756,3677.213511,0.124630575
0.2,0.01492229,0.373531389,46.83171985,0.378727442,3424.796696,0.024724115
0.2,0.02474019,0.03881669,27.31924535,0.006316871,2384.434411,0.564475103
0.2,0.01104975,0.054745325,18.01233923,0.021137585,2823.413002,0.123436572
0.2,0.021141751,0.068861971,8.20594797,0.020765404,3394.96207,0.177567643
0.2,0.009587048,0.123990681,1.100822961,0.030028667,2784.749704,0.086826599
0.2,0.017843481,0.175044274,0.000003182,0.036785203,3002.553332,0.067090712
